# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
84,2.17861031e+01,154.000000,2.07842081e+01,2.27879981e+01,154.000000,154.000000,37672.4152,37388.8967,8.986749354e-01,1.013250542e-01,1.045393898e-08
85,2.38864850e+01,154.000000,2.27879981e+01,2.49849720e+01,154.000000,154.000000,37388.8967,37105.3782,8.986749354e-01,1.013250542e-01,1.045393898e-08
86,2.61893633e+01,154.000000,2.49849720e+01,2.73937545e+01,154.000000,154.000000,37105.3782,36821.8596,8.986749354e-01,1.013250542e-01,1.045393898e-08
87,2.87142602e+01,154.000000,2.73937545e+01,3.00347660e+01,154.000000,154.000000,36821.8596,36538.3411,8.986749354e-01,1.013250542e-01,1.045393898e-08
88,3.14825807e+01,154.000000,3.00347660e+01,3.29303954e+01,154.000000,154.000000,36538.3411,36254.8226,8.986749354e-01,1.013250542e-01,1.045393898e-08
89,3.45177928e+01,154.000000,3.29303954e+01,3.61051902e+01,154.000000,154.000000,36254.8226,35971.3041,8.986749354e-01,1.013250542e-01,1.045393898e-08
90,3.78456274e+01,154.000000,3.61051902e+01,3.95860647e+01,154.000000,154.000000,35971.3041,35687.7855,8.986749354e-01,1.013250542e-01,1.045393898e-08
91,4.14942962e+01,154.000000,3.95860647e+01,4.34025276e+01,154.000000,154.000000,35687.7855,35404.2670,8.986749354e-01,1.013250542e-01,1.045393898e-08
92,4.54947303e+01,154.000000,4.34025276e+01,4.75869330e+01,154.000000,154.000000,35404.2670,35120.7485,8.986749354e-01,1.013250542e-01,1.045393898e-08
93,4.98808433e+01,154.000000,4.75869330e+01,5.21747537e+01,154.000000,154.000000,35120.7485,34837.2300,8.986749354e-01,1.013250542e-01,1.045393898e-08
94,5.46898182e+01,154.000000,5.21747537e+01,5.72048828e+01,154.000000,154.000000,34837.2300,34553.7114,8.986749354e-01,1.013250542e-01,1.045393898e-08
95,5.99624228e+01,154.000000,5.72048828e+01,6.27199629e+01,154.000000,154.000000,34553.7114,34270.1929,8.986749354e-01,1.013250542e-01,1.045393898e-08
96,6.57433553e+01,154.000000,6.27199629e+01,6.87667477e+01,154.000000,154.000000,34270.1929,33986.6744,8.986749354e-01,1.013250542e-01,1.045393898e-08
97,7.20816232e+01,154.000000,6.87667477e+01,7.53964986e+01,154.000000,154.000000,33986.6744,33703.1559,8.986749354e-01,1.013250542e-01,1.045393898e-08
98,7.90309587e+01,154.000000,7.53964986e+01,8.26654188e+01,154.000000,154.000000,33703.1559,33419.6373,8.986749354e-01,1.013250542e-01,1.045393898e-08
99,8.66502745e+01,154.000000,8.26654188e+01,9.06351302e+01,154.000000,154.000000,33419.6373,33136.1188,8.986749354e-01,1.013250542e-01,1.045393898e-08
100,9.50041628e+01,154.000000,9.06351302e+01,9.93731955e+01,154.000000,154.000000,33136.1188,32852.6003,8.986749354e-01,1.013250542e-01,1.045393898e-08
101,1.04163443e+02,154.000000,9.93731955e+01,1.08953691e+02,154.000000,154.000000,32852.6003,32569.0818,8.986749354e-01,1.013250542e-01,1.045393898e-08
102,1.14205763e+02,154.000000,1.08953691e+02,1.19457835e+02,154.000000,154.000000,32569.0818,32285.5632,8.986749354e-01,1.013250542e-01,1.045393898e-08
103,1.25216256e+02,154.000000,1.19457835e+02,1.30974676e+02,154.000000,154.000000,32285.5632,32002.0447,8.986749354e-01,1.013250542e-01,1.045393898e-08
104,1.37288262e+02,154.000000,1.30974676e+02,1.43601847e+02,154.000000,154.000000,32002.0447,31718.5262,8.986749354e-01,1.013250542e-01,1.045393898e-08
105,1.50524120e+02,154.000000,1.43601847e+02,1.57446394e+02,154.000000,154.000000,31718.5262,31435.0077,8.986749354e-01,1.013250542e-01,1.045393898e-08
106,1.65036039e+02,154.000000,1.57446394e+02,1.72625683e+02,154.000000,154.000000,31435.0077,31151.4891,8.986749354e-01,1.013250542e-01,1.045393898e-08
107,1.80947040e+02,154.000000,1.72625683e+02,1.89268397e+02,154.000000,154.000000,31151.4891,30867.9706,8.986749354e-01,1.013250542e-01,1.045393898e-08
108,1.98392009e+02,154.000000,1.89268397e+02,2.07515622e+02,154.000000,154.000000,30867.9706,30584.4521,8.986749354e-01,1.013250542e-01,1.045393898e-08
109,2.17518835e+02,154.000000,2.07515622e+02,2.27522048e+02,154.000000,154.000000,30584.4521,30300.9336,8.986749354e-01,1.013250542e-01,1.045393898e-08
110,2.38489664e+02,154.000000,2.27522048e+02,2.49457279e+02,154.000000,154.000000,30300.9336,30017.4150,8.986749354e-01,1.013250542e-01,1.045393898e-08
111,2.61482274e+02,154.000000,2.49457279e+02,2.73507269e+02,154.000000,154.000000,30017.4150,29733.8965,8.986749354e-01,1.013250542e-01,1.045393898e-08
112,2.86691585e+02,154.000000,2.73507269e+02,2.99875901e+02,154.000000,154.000000,29733.8965,29450.3780,8.986749354e-01,1.013250542e-01,1.045393898e-08
113,3.14331307e+02,154.000000,2.99875901e+02,3.28786713e+02,154.000000,154.000000,29450.3780,29166.8595,8.986749354e-01,1.013250542e-01,1.045393898e-08
114,3.44635754e+02,154.000000,3.28786713e+02,3.60484795e+02,154.000000,154.000000,29166.8595,28883.3409,8.986749354e-01,1.013250542e-01,1.045393898e-08
115,3.77861830e+02,154.000000,3.60484795e+02,3.95238865e+02,154.000000,154.000000,28883.3409,28599.8224,8.986749354e-01,1.013250542e-01,1.045393898e-08
116,4.14291207e+02,154.000000,3.95238865e+02,4.33343549e+02,154.000000,154.000000,28599.8224,28316.3039,8.986749354e-01,1.013250542e-01,1.045393898e-08
117,4.54232714e+02,154.000000,4.33343549e+02,4.75121878e+02,154.000000,154.000000,28316.3039,28032.7854,8.986749354e-01,1.013250542e-01,1.045393898e-08
118,4.98024951e+02,154.000000,4.75121878e+02,5.20928024e+02,154.000000,154.000000,28032.7854,27749.2668,8.986749354e-01,1.013250542e-01,1.045393898e-08
119,5.46039165e+02,154.000000,5.20928024e+02,5.71150306e+02,154.000000,154.000000,27749.2668,27465.7483,8.986749354e-01,1.013250542e-01,1.045393898e-08
120,5.98682394e+02,154.000000,5.71150306e+02,6.26214481e+02,154.000000,154.000000,27465.7483,27182.2298,8.986749354e-01,1.013250542e-01,1.045393898e-08
121,6.56400917e+02,154.000000,6.26214481e+02,6.86587352e+02,154.000000,154.000000,27182.2298,26898.7113,8.986749354e-01,1.013250542e-01,1.045393898e-08
122,7.19684040e+02,154.000000,6.86587352e+02,7.52780727e+02,154.000000,154.000000,26898.7113,26615.1927,8.986749354e-01,1.013250542e-01,1.045393898e-08
123,7.89068241e+02,154.000000,7.52780727e+02,8.25355756e+02,154.000000,154.000000,26615.1927,26331.6742,8.986749354e-01,1.013250542e-01,1.045393898e-08
124,8.65141722e+02,154.000000,8.25355756e+02,9.04927688e+02,154.000000,154.000000,26331.6742,26048.1557,8.986749354e-01,1.013250542e-01,1.045393898e-08
125,9.48549390e+02,154.000000,9.04927688e+02,9.92171092e+02,154.000000,154.000000,26048.1557,25764.6372,8.986749354e-01,1.013250542e-01,1.045393898e-08
126,1.03999833e+03,154.000000,9.92171092e+02,1.08782557e+03,154.000000,154.000000,25764.6372,25481.1186,8.986749354e-01,1.013250542e-01,1.045393898e-08
127,1.14026379e+03,154.000000,1.08782557e+03,1.19270202e+03,154.000000,154.000000,25481.1186,25197.6001,8.986749354e-01,1.013250542e-01,1.045393898e-08
128,1.25019577e+03,154.000000,1.19270202e+03,1.30768953e+03,154.000000,154.000000,25197.6001,24914.0816,8.986749354e-01,1.013250542e-01,1.045393898e-08
129,1.37072622e+03,154.000000,1.30768953e+03,1.43376290e+03,154.000000,154.000000,24914.0816,24630.5631,8.986749354e-01,1.013250542e-01,1.045393898e-08
130,1.50287691e+03,154.000000,1.43376290e+03,1.57199092e+03,154.000000,154.000000,24630.5631,24347.0445,8.986749354e-01,1.013250542e-01,1.045393898e-08
131,1.64776815e+03,154.223109,1.57199092e+03,1.72354539e+03,154.000000,154.446218,24347.0445,24063.1153,8.986749350e-01,1.013250541e-01,1.091641983e-08
132,1.80662825e+03,154.794868,1.72354539e+03,1.88971111e+03,154.446218,155.143519,24063.1153,23778.1333,8.986749344e-01,1.013250541e-01,1.153442704e-08
133,1.98080393e+03,155.495595,1.88971111e+03,2.07189675e+03,155.143519,155.847671,23778.1333,23491.8614,8.986749335e-01,1.013250540e-01,1.258003489e-08
134,2.17177176e+03,156.203221,2.07189675e+03,2.27164677e+03,155.847671,156.558771,23491.8614,23204.2867,8.986749324e-01,1.013250538e-01,1.372224928e-08
135,2.38115066e+03,156.917846,2.27164677e+03,2.49065454e+03,156.558771,157.276920,23204.2867,22915.3963,8.986749313e-01,1.013250537e-01,1.497014549e-08
136,2.61071562e+03,157.639569,2.49065454e+03,2.73077669e+03,157.276920,158.002218,22915.3963,22625.1772,8.986749301e-01,1.013250536e-01,1.633366237e-08
137,2.86241276e+03,158.368492,2.73077669e+03,2.99404884e+03,158.002218,158.734766,22625.1772,22333.6162,8.986749287e-01,1.013250534e-01,1.782368512e-08
138,3.13837584e+03,159.104717,2.99404884e+03,3.28270285e+03,158.734766,159.474668,22333.6162,22040.6997,8.986749273e-01,1.013250533e-01,1.945213595e-08
139,3.44094432e+03,159.848350,3.28270285e+03,3.59918579e+03,159.474668,160.222031,22040.6997,21746.4142,8.986749257e-01,1.013250531e-01,2.123207346e-08
140,3.77268319e+03,160.599495,3.59918579e+03,3.94618060e+03,160.222031,160.976959,21746.4142,21450.7458,8.986749239e-01,1.013250529e-01,2.317780147e-08
141,4.13640477e+03,161.358261,3.94618060e+03,4.32662893e+03,160.976959,161.739562,21450.7458,21153.6805,8.986749220e-01,1.013250527e-01,2.530498819e-08
142,4.53519247e+03,162.124756,4.32662893e+03,4.74375600e+03,161.739562,162.509950,21153.6805,20855.2041,8.986749199e-01,1.013250524e-01,2.763079676e-08
143,4.97242699e+03,162.899092,4.74375600e+03,5.20109798e+03,162.509950,163.288233,20855.2041,20555.3020,8.986749177e-01,1.013250522e-01,3.017402816e-08
144,5.45181497e+03,163.681380,5.20109798e+03,5.70253196e+03,163.288233,164.074526,20555.3020,20253.9598,8.986749152e-01,1.013250519e-01,3.295527763e-08
145,5.97742038e+03,164.471734,5.70253196e+03,6.25230881e+03,164.074526,164.868942,20253.9598,19951.1625,8.986749124e-01,1.013250516e-01,3.599710587e-08
146,6.55369903e+03,165.270270,6.25230881e+03,6.85508924e+03,164.868942,165.671598,19951.1625,19646.8951,8.986749094e-01,1.013250512e-01,3.932422633e-08
147,7.18553626e+03,166.077104,6.85508924e+03,7.51598328e+03,165.671598,166.482611,19646.8951,19341.1423,8.986749062e-01,1.013250509e-01,4.296371008e-08
148,7.87828845e+03,166.892355,7.51598328e+03,8.24059363e+03,166.482611,167.302100,19341.1423,19033.8885,8.986749026e-01,1.013250505e-01,4.694520986e-08
149,8.63782837e+03,167.716143,8.24059363e+03,9.03506311e+03,167.302100,168.130186,19033.8885,18725.1182,8.986748987e-01,1.013250500e-01,5.130120494e-08
150,9.47059496e+03,168.548588,9.03506311e+03,9.90612681e+03,168.130186,168.966991,18725.1182,18414.8152,8.986748944e-01,1.013250496e-01,5.606726872e-08
151,1.03836480e+04,169.389815,9.90612681e+03,1.08611691e+04,168.966991,169.812639,18414.8152,18102.9636,8.986748897e-01,1.013250490e-01,6.128236106e-08
152,1.13847277e+04,170.239946,1.08611691e+04,1.19082863e+04,169.812639,170.667254,18102.9636,17789.5469,8.986748846e-01,1.013250484e-01,6.698914744e-08
153,1.24823208e+04,171.099108,1.19082863e+04,1.30563553e+04,170.667254,171.530963,17789.5469,17474.5484,8.986748790e-01,1.013250478e-01,7.323434729e-08
154,1.36857321e+04,171.967428,1.30563553e+04,1.43151088e+04,171.530963,172.403893,17474.5484,17157.9513,8.986748728e-01,1.013250471e-01,8.006911402e-08
155,1.50051633e+04,172.845034,1.43151088e+04,1.56952178e+04,172.403893,173.286174,17157.9513,16839.7385,8.986748661e-01,1.013250464e-01,8.754944930e-08
156,1.64517999e+04,173.732055,1.56952178e+04,1.72083820e+04,173.286174,174.177936,16839.7385,16519.8926,8.986748587e-01,1.013250455e-01,9.573665457e-08
157,1.80379056e+04,174.628623,1.72083820e+04,1.88674293e+04,174.177936,175.079310,16519.8926,16198.3962,8.986748507e-01,1.013250446e-01,1.046978227e-07
